date,max_temp,min_temp,precip
3/15/2020,296.786102,282.467712,14.133392
4/15/2020,295.430328,278.717194,43.482567
5/15/2020,303.835144,285.624298,0.280187
6/15/2020,307.791077,289.811951,3.495399
7/15/2020,309.415131,295.695587,5.088589
8/15/2020,311.097748,293.260345,0.933364
9/15/2020,307.492645,289.90451,0
10/15/2020,303.340942,288.09671,41.906841
11/15/2020,286.976257,278.474823,108.238243
12/15/2020,284.402924,275.212463,144.329391
1/15/2021,285.344391,276.364349,68.155182
2/15/2021,292.490143,278.901398,3.700492
3/15/2021,296.21991,278.461639,7.06507
4/15/2021,294.865784,279.847961,27.797535
5/15/2021,303.661224,286.188568,0.762551
6/15/2021,307.825867,290.085327,1.041604
7/15/2021,309.641632,293.226044,2.984481
8/15/2021,309.999084,293.773682,1.69956
9/15/2021,306.763092,290.97464,5.057304
10/15/2021,302.081573,285.944763,8.61529
11/15/2021,294.887024,277.238373,2.524122
12/15/2021,285.24646,273.215302,37.339691
1/15/2022,293.561707,279.200592,1.119317
2/15/2022,290.285522,279.494751,177.570999
3/15/2022,295.249084,280.559967,31.42688
4/15/2022,292.644379,281.436798,64.334251
5/15/2022,305.013367,289.292297,2.888887
6/15/2022,308.368195,290.685028,1.360141
7/15/2022,313.231232,296.057953,0.917929
8/15/2022,308.358643,293.300873,1.665519
9/15/2022,306.936432,290.751953,21.292999
10/15/2022,301.885956,285.979858,36.900436
11/15/2022,290.61615,280.563751,116.76487
12/15/2022,286.984711,278.463196,89.292664
1/15/2023,288.60434,280.390533,123.181763
2/15/2023,289.111511,281.146057,222.421265
3/15/2023,290.508911,281.656708,238.09285
4/15/2023,295.227081,283.302917,78.534035
5/15/2023,298.248047,286.317169,54.044552
6/15/2023,304.814117,289.069855,24.672293
7/15/2023,310.382019,293.762695,2.540739
8/15/2023,310.97229,294.041992,0.311847
9/15/2023,305.26413,289.190399,11.776238
10/15/2023,299.097961,285.743347,171.452408
11/15/2023,291.557343,280.605835,49.691383
12/15/2023,286.076416,275.272919,22.259943
1/15/2024,285.138824,275.627319,225.225998
2/15/2024,286.391052,274.949524,130.133774
3/15/2024,295.862,281.686676,4.539809
4/15/2024,297.537567,282.287323,59.690205
5/15/2024,306.314117,288.632233,0
6/15/2024,307.691284,291.252716,0.807239
7/15/2024,311.289154,294.593414,0.285839
8/15/2024,309.109222,292.53064,1.49153
9/15/2024,305.280426,290.622131,25.813923
10/15/2024,298.59021,286.646545,17.123291
11/15/2024,291.260864,279.187286,30.905874
12/15/2024,292.328888,281.812347,78.062248
1/15/2025,286.154266,279.549164,363.197174
2/15/2025,288.200989,277.602722,158.432159
3/15/2025,289.949677,279.043732,127.723869
4/15/2025,295.575134,281.603577,18.498913
5/15/2025,301.88266,285.128998,31.057564
6/15/2025,306.481476,289.970581,11.11056
7/15/2025,310.44696,293.35257,0.996369
8/15/2025,312.391571,296.171417,2.715744
9/15/2025,307.171539,289.784454,8.220758
10/15/2025,300.546051,284.097504,16.746544
11/15/2025,293.317169,282.323761,111.072754
12/15/2025,287.680084,277.315979,60.509727
1/15/2026,289.414612,277.490845,62.016273
2/15/2026,288.888855,278.77652,78.401077
3/15/2026,292.325226,279.240967,75.18322
4/15/2026,293.883179,280.404327,46.742928
5/15/2026,305.517487,288.220612,0
6/15/2026,305.1651,287.890198,0.600777
7/15/2026,311.640381,294.88504,2.503277
8/15/2026,311.00824,294.449585,2.296814
9/15/2026,309.427795,290.959534,1.388303
10/15/2026,303.476501,287.40625,20.403635
11/15/2026,289.293884,279.492615,98.828033
12/15/2026,285.325012,276.715912,290.741791
1/15/2027,286.805481,276.320129,122.258377
2/15/2027,288.545074,276.803864,145.83989
3/15/2027,292.888245,278.585388,12.776149
4/15/2027,296.635284,279.326538,8.719912
5/15/2027,301.139374,281.927277,2.683607
6/15/2027,309.072571,291.992615,2.54441
7/15/2027,309.076263,291.104156,1.240631
8/15/2027,309.150848,291.347504,0.298384
9/15/2027,303.763855,287.581085,0.290844
10/15/2027,300.513153,284.807404,26.675346
11/15/2027,290.412506,279.119965,72.838478
12/15/2027,286.477753,277.072021,95.189194
1/15/2028,293.039917,280.079773,0
2/15/2028,294.244873,280.582367,34.36121
3/15/2028,290.431122,276.828186,69.960258
4/15/2028,292.512329,278.561859,39.879005
5/15/2028,304.919739,287.703217,27.41337
6/15/2028,305.695312,288.393616,8.076123
7/15/2028,311.166931,292.484528,0
8/15/2028,310.794525,292.363098,1.51465
9/15/2028,307.902222,288.461609,0.295415
10/15/2028,302.393097,285.124146,0.916781
11/15/2028,292.972015,279.495758,22.470158
12/15/2028,287.945007,274.214661,28.952669
1/15/2029,283.04425,273.131073,208.647049
2/15/2029,288.492828,275.243774,44.87114
3/15/2029,288.857117,277.807648,136.244629
4/15/2029,294.614471,279.864655,56.778965
5/15/2029,297.576691,281.980896,11.362514
6/15/2029,307.341339,289.892609,0.604807
7/15/2029,308.916687,291.430878,0.292592
8/15/2029,310.65274,291.309601,1.892254
9/15/2029,312.431519,294.644531,0.807906
10/15/2029,304.321686,288.57486,7.294605
11/15/2029,292.018585,280.200195,153.763107
12/15/2029,289.281891,280.474152,57.721203
1/15/2030,291.205048,278.237122,2.448558
2/15/2030,288.354095,275.652679,53.393936
3/15/2030,295.147217,279.454346,16.850168
4/15/2030,297.490753,283.275665,72.201225
5/15/2030,303.269531,287.09848,2.731361
6/15/2030,306.778168,288.606262,29.323761
7/15/2030,311.641449,293.14682,0.280142
8/15/2030,310.4953,292.116058,1.528452
9/15/2030,308.043549,290.764465,0.867962
10/15/2030,299.714996,284.08255,24.699268
11/15/2030,291.06015,282.155579,213.131393
12/15/2030,287.572205,276.811279,16.465458
1/15/2031,286.479645,278.136932,157.266174
2/15/2031,288.284637,279.034241,94.65126
3/15/2031,292.934998,282.299683,123.340157
4/15/2031,298.34967,282.14035,3.482027
5/15/2031,300.647644,283.607941,2.670491
6/15/2031,305.358521,286.889801,2.882909
7/15/2031,311.661163,294.657288,1.18012
8/15/2031,311.705902,294.517487,1.257702
9/15/2031,309.504883,290.026428,0.368779
10/15/2031,306.643768,288.186981,0
11/15/2031,290.960236,279.764374,132.126862
12/15/2031,288.98938,280.298615,51.812233
1/15/2032,287.822144,277.930634,86.879288
2/15/2032,292.317535,281.219421,54.984665
3/15/2032,289.444489,278.512543,226.653824
4/15/2032,294.362915,281.566498,43.03614
5/15/2032,302.042877,285.307373,1.121826
6/15/2032,307.924225,290.460297,2.508249
7/15/2032,311.157196,295.734131,2.093118
8/15/2032,309.995544,294.387604,12.172349
9/15/2032,307.611755,291.55307,1.856464
10/15/2032,303.105377,284.98703,0
11/15/2032,291.888062,278.327606,39.580967
12/15/2032,294.052521,278.479187,5.208835
1/15/2033,289.794189,278.778442,144.189133
2/15/2033,287.98819,278.445221,163.124756
3/15/2033,290.222778,280.437958,288.852722
4/15/2033,294.948822,281.025085,64.444138
5/15/2033,301.364105,286.87262,33.487381
6/15/2033,306.039215,288.702637,1.754656
7/15/2033,311.075195,293.730896,0.803358
8/15/2033,311.298462,293.773071,0.887471
9/15/2033,310.444,293.087799,0.959018
10/15/2033,301.458466,287.744202,66.615128
11/15/2033,294.565704,281.966522,11.036422
12/15/2033,291.617157,279.607178,8.476273
1/15/2034,289.425385,277.362671,128.190765
2/15/2034,292.187714,276.808868,8.426316
3/15/2034,290.624237,276.997681,80.118301
4/15/2034,292.494629,281.43576,153.930954
5/15/2034,302.651245,286.760864,5.789129
6/15/2034,307.854614,289.208099,1.537703
7/15/2034,311.145844,294.051483,1.013583
8/15/2034,310.011536,293.13089,0.895732
9/15/2034,307.233917,289.024109,14.58216
10/15/2034,301.898682,285.728363,7.132595
11/15/2034,293.609711,281.121521,18.568066
12/15/2034,290.759705,276.792694,17.615477
1/15/2035,292.201538,277.310181,8.50083
2/15/2035,296.230255,278.075653,2.080196
3/15/2035,293.71994,280.77182,105.288994
4/15/2035,296.93924,282.740082,105.146698
5/15/2035,298.586212,283.519409,62.605476
6/15/2035,308.46347,292.502014,11.845067
7/15/2035,310.665558,292.130188,0
8/15/2035,309.146088,290.760864,2.295974
9/15/2035,307.470184,289.018066,1.69952
10/15/2035,303.224609,286.259644,12.792183
11/15/2035,294.880096,281.972778,70.419853
12/15/2035,289.337463,277.695251,20.271618
1/15/2036,290.814087,278.355347,40.587013
2/15/2036,293.268585,280.428558,58.98682
3/15/2036,291.120026,279.814301,86.616295
4/15/2036,294.737518,282.020111,69.979736
5/15/2036,302.548706,286.463287,28.014185
6/15/2036,310.775879,292.611053,0.284177
7/15/2036,313.196381,294.107788,0.31277
8/15/2036,308.840668,291.432617,0
9/15/2036,308.185455,290.893402,13.749629
10/15/2036,302.215027,286.542053,33.64909
11/15/2036,292.688843,280.176666,11.809589
12/15/2036,290.362976,278.938202,7.606205
1/15/2037,288.316559,277.324341,105.7556
2/15/2037,290.208527,279.237762,77.640862
3/15/2037,292.936493,280.653961,144.474838
4/15/2037,296.731873,281.32486,17.750977
5/15/2037,302.078217,285.687714,3.935312
6/15/2037,307.477539,290.117279,0.865612
7/15/2037,312.534851,296.162292,1.751083
8/15/2037,311.224792,293.525513,1.862659
9/15/2037,305.932983,289.609894,73.016571
10/15/2037,300.943115,287.956055,21.141674
11/15/2037,290.987671,279.396973,73.171761
12/15/2037,290.390991,280.724731,36.771126
1/15/2038,287.921967,279.346497,174.840302
2/15/2038,293.497955,281.421661,81.476021
3/15/2038,293.351257,281.477448,92.609383
4/15/2038,296.066315,282.968292,33.323444
5/15/2038,295.563293,283.864166,94.971375
6/15/2038,305.881042,290.520233,40.627842
7/15/2038,311.558533,293.525055,1.387386
8/15/2038,309.982971,291.076599,4.654322
9/15/2038,307.698639,291.559967,11.505013
10/15/2038,302.550446,286.894348,52.875145
11/15/2038,291.597992,281.692078,40.937309
12/15/2038,290.838226,281.633728,67.787895
1/15/2039,291.448853,281.56015,86.58754
2/15/2039,288.726044,278.353119,201.966476
3/15/2039,295.283997,282.384766,72.443092
4/15/2039,297.685364,283.050842,131.103348
5/15/2039,304.872955,289.06308,7.199561
6/15/2039,309.662384,291.586151,0.898782
7/15/2039,311.648224,293.934845,0.28444
8/15/2039,310.502197,292.655792,0
9/15/2039,306.692444,290.550385,4.512408
10/15/2039,302.475616,288.43866,58.245174
11/15/2039,296.09436,281.797424,3.852204
12/15/2039,289.300232,278.134766,50.03429
1/15/2040,291.489166,280.40979,60.897961
2/15/2040,288.957825,280.101898,194.081924
3/15/2040,287.597137,278.769958,234.841934
4/15/2040,292.838867,279.628204,39.592644
5/15/2040,304.340424,287.344666,3.334466
6/15/2040,307.470581,289.477753,0.537448
7/15/2040,311.61911,293.697784,0.623198
8/15/2040,312.807648,295.4711,1.80087
9/15/2040,307.546356,290.021301,0.577894
10/15/2040,305.372345,287.303558,24.369751
11/15/2040,293.263123,281.261261,53.444321
12/15/2040,286.514191,277.925812,77.55677
1/15/2041,284.818817,275.703705,244.342041
2/15/2041,290.744537,279.799042,65.762154
3/15/2041,294.403137,282.386047,113.990181
4/15/2041,298.517059,284.488098,20.642702
5/15/2041,303.801086,287.131683,2.865583
6/15/2041,308.352509,290.30661,0
7/15/2041,309.267883,292.061676,0.544309
8/15/2041,310.940125,292.846741,1.590676
9/15/2041,309.759216,291.313324,0.304556
10/15/2041,302.848541,286.449493,23.679424
11/15/2041,289.834015,278.52182,45.507992
