date,max_temp,min_temp,precip
9/15/2020,306.190125,290.220673,50.750004
10/15/2020,303.449188,285.960175,3.574303
11/15/2020,298.417572,282.422913,3.100742
12/15/2020,285.485931,275.314819,174.42215
1/15/2021,289.541046,279.038605,67.854256
2/15/2021,287.271057,277.517609,97.054794
3/15/2021,296.771881,283.000671,18.870956
4/15/2021,301.177826,284.035522,0.279528
5/15/2021,305.299927,287.360809,0
6/15/2021,306.374054,290.832703,1.703565
7/15/2021,310.338135,293.870941,0.315182
8/15/2021,309.130463,293.079315,8.017735
9/15/2021,306.303986,291.07373,2.340741
10/15/2021,300.740417,284.433929,14.85015
11/15/2021,291.211487,279.286011,38.01273
12/15/2021,286.809448,277.903503,148.338638
1/15/2022,283.960327,275.619659,484.663239
2/15/2022,288.136902,279.140656,145.736374
3/15/2022,290.48407,280.873566,451.149689
4/15/2022,294.18512,279.86377,46.763657
5/15/2022,296.541748,283.375946,61.901871
6/15/2022,307.842957,289.721497,1.338458
7/15/2022,309.36557,292.194458,0
8/15/2022,310.998077,294.15213,2.457351
9/15/2022,306.710419,289.395569,0
10/15/2022,301.161835,285.201416,7.923792
11/15/2022,296.181458,281.479706,2.310231
12/15/2022,286.08847,274.578094,141.626358
1/15/2023,289.422913,279.02124,137.940704
2/15/2023,289.411407,278.468231,48.789211
3/15/2023,293.031677,281.211975,95.332458
4/15/2023,296.183563,281.839569,91.46489
5/15/2023,302.101044,285.3508,9.488565
6/15/2023,309.854767,291.743561,1.347279
7/15/2023,311.322784,293.429565,2.33348
8/15/2023,310.325806,292.540375,0.317142
9/15/2023,305.978699,287.93512,2.890504
10/15/2023,300.81778,284.597687,48.801884
11/15/2023,294.728882,281.252472,26.052546
12/15/2023,284.682281,274.549561,157.429276
1/15/2024,288.112762,277.817352,129.332108
2/15/2024,286.708954,278.53244,351.690094
3/15/2024,291.866791,279.783447,124.900627
4/15/2024,300.570099,282.895874,0.54063
5/15/2024,301.604828,284.623138,0
6/15/2024,310.296082,292.402405,11.7187
7/15/2024,312.13562,294.437897,0.293545
8/15/2024,309.890259,292.894623,3.759515
9/15/2024,305.809692,289.4086,2.053553
10/15/2024,301.722778,284.227539,0.534831
11/15/2024,293.070038,280.818695,59.657757
12/15/2024,288.294556,277.341187,65.150322
1/15/2025,289.16861,277.348877,31.397305
2/15/2025,289.417664,277.898193,49.81324
3/15/2025,295.371704,281.319733,54.005867
4/15/2025,298.641632,282.026764,2.599758
5/15/2025,304.245087,286.293976,0
6/15/2025,309.715485,289.253693,0.299114
7/15/2025,311.69632,293.966553,0
8/15/2025,310.246246,293.673157,3.672399
9/15/2025,310.08725,292.825226,1.887133
10/15/2025,299.143524,283.875,37.510933
11/15/2025,290.487976,277.788971,10.499575
12/15/2025,283.478638,274.427673,171.698395
1/15/2026,286.292206,277.478058,365.12088
2/15/2026,289.556824,280.618652,166.983582
3/15/2026,291.780212,281.489716,114.808945
4/15/2026,296.911072,282.750397,40.90221
5/15/2026,303.750793,288.098236,3.8009
6/15/2026,305.992645,287.279175,1.533547
7/15/2026,310.995697,292.907562,0
8/15/2026,311.224213,294.262787,4.058328
9/15/2026,307.911591,289.802643,10.486941
10/15/2026,302.456055,285.110992,0.401358
11/15/2026,293.495026,280.303772,42.279266
12/15/2026,292.019897,280.045502,3.766818
1/15/2027,286.683014,276.729797,213.425491
2/15/2027,288.024963,276.440094,59.82999
3/15/2027,291.908722,281.691467,156.28334
4/15/2027,296.160919,281.774109,61.120674
5/15/2027,300.686737,285.111115,27.40254
6/15/2027,304.719635,287.442505,5.228624
